Identificador,Classe,Projeto,Tipo,Posicao,Accede,Alias,Anathema,Anemone,Apocryphal,Camaraderie,Colloquialism,Debauch,Demagogue,Emollient,Epitome,Espouse,Espresso,Fatuous,Forte,Grandiloquent,Hegemony,Inchoate,Knell,Maelstrom,Mauve,Mischievous,Nadir,Neophyte,Noisome,Panacea,Phlegmatic,Protean,Puerile,Pulchritude,Quinoa,Quixotic,Sanguine,Sherbet,Staid,Surfeit,Timbre,Truculent,Vicissitude,Zephyr
 testclientCert ,projeto,Path,Variavel,6.5,6.5,7.5,7.5,9.5,9.0,12.0,7.5,8.5,6.0,7.0,7.5,8.0,8.0,5.5,10.0,7.5,8.0,6.5,8.0,7.0,9.0,7.0,7.0,8.0,7.5,9.0,7.0,6.5,9.5,7.5,8.0,8.0,6.0,6.5,6.5,7.0,6.5,10.0,7.0
 openldapCert ,projeto,Path,Variavel,6.0,5.5,7.5,6.5,8.5,9.0,11.5,6.5,8.5,7.5,6.5,7.5,7.5,7.5,5.5,11.0,7.5,7.5,5.0,7.5,6.5,10.5,6.0,7.0,7.5,7.0,8.5,6.5,6.0,10.0,6.0,7.5,8.0,5.5,6.0,6.5,6.5,7.5,10.5,6.0
 samba4Cert ,projeto,Path,Variavel,9.0,9.0,8.0,9.0,10.0,7.0,13.0,8.0,8.0,7.0,9.0,9.0,10.0,9.0,9.0,10.0,10.0,9.0,9.0,9.0,8.0,11.0,8.0,9.0,9.0,7.0,10.0,9.0,9.0,11.0,10.0,10.0,8.0,8.0,9.0,8.0,7.0,8.0,11.0,9.0
 that ,projeto,RoleMappingEntry,Variavel,6.0,4.0,6.0,7.0,8.0,10.0,12.0,6.0,8.0,8.0,6.0,7.0,8.0,6.0,4.0,11.0,8.0,5.0,5.0,8.0,5.0,10.0,5.0,6.0,7.0,6.0,7.0,5.0,7.0,9.0,6.0,7.0,8.0,5.0,4.0,6.0,6.0,8.0,10.0,5.0
 result ,projeto,int,Variavel,6.0,6.0,8.0,6.0,9.0,10.0,11.0,5.0,8.0,7.0,7.0,6.0,6.0,6.0,6.0,10.0,7.0,7.0,5.0,7.0,5.0,10.0,6.0,6.0,6.0,7.0,8.0,6.0,5.0,9.0,6.0,7.0,7.0,5.0,6.0,6.0,6.0,5.0,9.0,5.0
 builder ,projeto,Settings,Variavel,5.0,6.0,7.0,7.0,10.0,8.0,10.0,7.0,9.0,7.0,6.0,7.0,8.0,7.0,6.0,10.0,8.0,8.0,6.0,7.0,6.0,10.0,5.0,8.0,6.0,6.0,10.0,7.0,5.0,8.0,5.0,6.0,7.0,6.0,6.0,6.0,6.0,7.0,9.0,6.0
 name ,projeto,String,For,5.0,5.0,5.0,4.0,10.0,8.0,12.0,6.0,7.0,8.0,5.0,6.0,7.0,6.0,4.0,11.0,7.0,5.0,4.0,8.0,3.0,10.0,4.0,7.0,5.0,4.0,9.0,6.0,6.0,10.0,6.0,8.0,6.0,6.0,4.0,6.0,4.0,8.0,10.0,6.0
 builder ,projeto,PutRoleMappingRequestBuilder,For,5.0,6.0,7.0,7.0,10.0,8.0,10.0,7.0,9.0,7.0,6.0,7.0,8.0,7.0,6.0,10.0,8.0,8.0,6.0,7.0,6.0,10.0,5.0,8.0,6.0,6.0,10.0,7.0,5.0,8.0,5.0,6.0,7.0,6.0,6.0,6.0,6.0,7.0,9.0,6.0
 response ,projeto,PutRoleMappingResponse,For,7.0,7.0,8.0,5.0,10.0,10.0,11.0,7.0,6.0,9.0,6.0,3.0,6.0,6.0,6.0,10.0,6.0,6.0,8.0,8.0,7.0,9.0,8.0,5.0,6.0,8.0,9.0,7.0,7.0,10.0,7.0,7.0,7.0,8.0,8.0,8.0,7.0,8.0,9.0,6.0
 fileContent,projeto,String,Atributo,5.5,5.5,6.5,6.0,9.5,9.5,11.0,7.0,8.5,6.0,5.5,6.5,7.0,7.0,4.0,9.5,7.0,7.0,4.5,8.0,5.0,9.5,6.0,7.0,5.5,6.0,8.5,5.5,5.5,9.5,6.0,7.5,6.0,6.0,5.5,5.5,5.5,6.5,9.5,6.5
 nativeContent,projeto,String,Atributo,5.5,6.0,5.5,5.5,9.5,9.0,11.0,7.0,8.0,6.5,5.5,6.5,7.5,6.0,4.5,9.5,7.5,6.5,5.5,7.5,4.5,9.5,5.5,7.0,6.0,5.5,8.5,5.5,6.0,9.5,6.5,7.5,5.5,6.0,5.5,6.0,6.0,7.0,9.5,6.5
 that ,projeto,RoleMappingEntry,Variavel,6.0,4.0,6.0,7.0,8.0,10.0,12.0,6.0,8.0,8.0,6.0,7.0,8.0,6.0,4.0,11.0,8.0,5.0,5.0,8.0,5.0,10.0,5.0,6.0,7.0,6.0,7.0,5.0,7.0,9.0,6.0,7.0,8.0,5.0,4.0,6.0,6.0,8.0,10.0,5.0
 result ,projeto,int,Variavel,6.0,6.0,8.0,6.0,9.0,10.0,11.0,5.0,8.0,7.0,7.0,6.0,6.0,6.0,6.0,10.0,7.0,7.0,5.0,7.0,5.0,10.0,6.0,6.0,6.0,7.0,8.0,6.0,5.0,9.0,6.0,7.0,7.0,5.0,6.0,6.0,6.0,5.0,9.0,5.0
nome,projeto,tipo,posicao,5.0,5.0,6.0,4.0,9.0,9.0,12.0,7.0,7.0,7.0,4.0,5.0,7.0,6.0,3.0,10.0,7.0,5.0,4.0,8.0,4.0,10.0,5.0,6.0,4.0,5.0,9.0,5.0,6.0,10.0,5.0,7.0,6.0,6.0,5.0,6.0,4.0,8.0,10.0,6.0
 XPACK_SECURITY_AUTHC_REALMS_AD_EXTERNAL ,projeto,String,Atributo,6.33,5.83,7.67,7.0,9.67,11.0,13.0,7.33,9.0,8.83,7.0,7.0,7.83,7.33,6.17,13.0,8.0,8.0,6.17,9.0,6.17,11.0,6.17,8.0,7.33,7.33,10.0,7.33,7.33,11.0,6.67,8.0,7.83,7.17,6.0,7.17,6.5,9.0,11.0,6.67
 XPACK_SECURITY_AUTHC_REALMS_LDAP_EXTERNAL ,projeto,String,Atributo,6.5,6.0,7.83,7.17,9.83,11.0,13.0,7.33,9.0,8.83,7.0,7.0,7.83,7.33,6.17,13.0,8.0,8.0,6.17,9.0,6.17,11.0,6.17,8.0,7.33,7.33,10.0,7.33,7.33,11.0,6.67,8.0,7.83,7.17,6.0,7.17,6.5,9.0,11.0,6.67
 PASSWORD ,projeto,String,Atributo,7.0,7.0,8.0,7.0,10.0,11.0,13.0,8.0,9.0,9.0,8.0,8.0,8.0,8.0,8.0,13.0,8.0,8.0,8.0,9.0,8.0,11.0,8.0,8.0,8.0,7.0,9.0,7.0,7.0,10.0,8.0,8.0,8.0,8.0,7.0,8.0,8.0,9.0,11.0,8.0
 ASGARDIAN_INDEX ,projeto,String,Atributo,7.0,6.5,8.0,7.5,9.5,11.0,13.0,8.0,9.0,9.0,8.0,8.0,8.5,8.0,7.0,13.0,8.5,8.0,7.0,9.0,7.0,11.0,7.0,8.5,8.0,8.0,10.0,8.0,8.0,11.0,7.5,8.5,8.0,7.5,6.5,7.5,7.5,9.0,11.0,7.5
 PHILANTHROPISTS_INDEX ,projeto,String,Atributo,10.0,9.5,11.0,10.5,12.0,13.0,14.0,11.0,12.0,12.0,11.0,11.0,11.5,11.0,10.0,14.0,11.0,10.5,10.0,12.0,10.0,13.0,9.5,11.0,10.5,10.5,12.0,10.5,10.5,12.5,10.5,11.5,11.5,11.0,10.0,11.0,10.0,11.5,13.0,10.5
 SECURITY_INDEX ,projeto,String,Atributo,7.0,6.5,8.0,7.5,10.0,11.0,13.0,7.5,9.0,9.0,7.0,7.0,8.0,7.5,6.5,13.0,8.0,7.5,6.5,9.0,6.5,11.0,6.5,8.0,7.5,7.5,10.0,7.5,7.5,11.0,7.0,8.0,7.5,7.0,6.0,7.0,7.0,9.0,11.0,7.0
 AD_ROLE_MAPPING ,projeto, RoleMappingEntry,Atributo,5.67,5.0,7.67,6.67,9.67,11.0,13.0,7.0,9.0,9.0,7.0,7.0,8.0,7.0,5.67,13.0,8.0,8.0,5.67,8.67,5.33,10.67,5.67,8.0,7.0,7.0,10.0,7.0,7.0,11.0,6.33,8.0,8.0,7.0,5.67,7.0,6.33,9.0,11.0,6.33
 realmConfig,projeto,RealmConfig,Atributo,6.0,5.5,7.0,6.5,8.5,9.0,10.0,6.0,7.5,7.5,6.5,7.0,7.0,7.0,5.0,11.0,7.0,7.5,4.5,8.0,5.5,10.0,5.0,7.0,6.0,6.0,8.5,5.5,5.5,10.0,6.0,7.5,7.0,6.5,4.5,5.5,6.0,8.0,10.5,5.5
 roleMappings,projeto,RoleMappingEntry,Atributo,6.5,5.5,7.5,6.0,9.5,9.5,11.0,7.5,7.5,7.0,6.0,6.0,7.0,6.0,5.5,10.5,7.5,7.0,6.0,7.5,5.0,9.0,5.5,6.5,6.5,6.5,9.0,6.0,5.5,9.5,6.0,7.5,6.5,7.0,6.0,7.0,6.5,7.5,10.0,6.5
 fileContent,projeto,String,Atributo,5.5,5.5,6.5,6.0,9.5,9.5,11.0,7.0,8.5,6.0,5.5,6.5,7.0,7.0,4.0,9.5,7.0,7.0,4.5,8.0,5.0,9.5,6.0,7.0,5.5,6.0,8.5,5.5,5.5,9.5,6.0,7.5,6.0,6.0,5.5,5.5,5.5,6.5,9.5,6.5
 nativeContent,projeto,String,Atributo,5.5,6.0,5.5,5.5,9.5,9.0,11.0,7.0,8.0,6.5,5.5,6.5,7.5,6.0,4.5,9.5,7.5,6.5,5.5,7.5,4.5,9.5,5.5,7.0,6.0,5.5,8.5,5.5,6.0,9.5,6.5,7.5,5.5,6.0,5.5,6.0,6.0,7.0,9.5,6.5
 type,projeto,String,Atributo,5.0,5.0,7.0,6.0,8.0,10.0,13.0,7.0,8.0,8.0,5.0,5.0,6.0,6.0,4.0,12.0,7.0,7.0,5.0,8.0,4.0,10.0,5.0,6.0,6.0,6.0,9.0,6.0,6.0,9.0,6.0,8.0,7.0,6.0,4.0,6.0,5.0,8.0,9.0,5.0
 mapGroupsAsRoles,projeto,boolean,Atributo,5.5,4.0,7.25,6.25,8.75,10.0,11.0,6.5,8.0,7.75,6.75,5.75,6.75,5.75,4.75,11.25,7.5,7.25,5.25,8.25,4.75,9.75,5.0,7.25,6.5,6.5,9.0,5.75,6.75,10.25,6.0,7.5,7.5,6.75,5.0,6.5,5.75,8.0,10.25,5.75
 loginWithCommonName,projeto,boolean,Atributo,5.75,5.0,7.0,5.5,9.25,9.5,11.0,6.5,7.5,7.25,5.75,6.5,7.75,6.25,4.25,11.0,6.5,6.75,5.25,8.0,4.75,9.75,4.5,6.75,5.25,6.5,8.5,5.5,6.25,9.75,5.25,6.75,6.25,6.75,4.75,6.25,5.0,8.25,10.0,5.75
 roleMappings,projeto, RoleMappingEntry,Atributo,6.5,5.5,7.5,6.0,9.5,9.5,11.0,7.5,7.5,7.0,6.0,6.0,7.0,6.0,5.5,10.5,7.5,7.0,6.0,7.5,5.0,9.0,5.5,6.5,6.5,6.5,9.0,6.0,5.5,9.5,6.0,7.5,6.5,7.0,6.0,7.0,6.5,7.5,10.0,6.5
 settings,projeto,Settings,Atributo,8.0,6.0,7.0,7.0,10.0,11.0,11.0,7.0,7.0,8.0,7.0,8.0,8.0,6.0,7.0,12.0,7.0,8.0,8.0,8.0,8.0,9.0,7.0,7.0,8.0,8.0,9.0,7.0,7.0,10.0,6.0,8.0,7.0,8.0,6.0,8.0,8.0,9.0,10.0,7.0
 realm ,projeto,RealmConfig,Variavel,6.0,5.0,6.0,6.0,8.0,9.0,10.0,5.0,7.0,8.0,6.0,7.0,6.0,7.0,5.0,11.0,6.0,7.0,4.0,7.0,5.0,10.0,5.0,7.0,6.0,6.0,8.0,5.0,5.0,10.0,6.0,8.0,8.0,6.0,4.0,6.0,6.0,7.0,11.0,5.0
 builder ,projeto,Settings,Variavel,5.0,6.0,7.0,7.0,10.0,8.0,10.0,7.0,9.0,7.0,6.0,7.0,8.0,7.0,6.0,10.0,8.0,8.0,6.0,7.0,6.0,10.0,5.0,8.0,6.0,6.0,10.0,7.0,5.0,8.0,5.0,6.0,7.0,6.0,6.0,6.0,6.0,7.0,9.0,6.0
 builder ,projeto,Settings,Variavel,5.0,6.0,7.0,7.0,10.0,8.0,10.0,7.0,9.0,7.0,6.0,7.0,8.0,7.0,6.0,10.0,8.0,8.0,6.0,7.0,6.0,10.0,5.0,8.0,6.0,6.0,10.0,7.0,5.0,8.0,5.0,6.0,7.0,6.0,6.0,6.0,6.0,7.0,9.0,6.0
